Reference,Value,Manufacturer,MPN,Quantity,Population_quantity,Category,Footprint,Side,PCB_X_mm,PCB_Y_mm,Rotation_deg,Assembly_note,Native_exclude_from_BOM,Native_exclude_from_CPL
TP1008,I2C_SCL,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,24.851277,35.4,0.0,,True,True
TP1009,I2C_SDA,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,27.101277,35.4,0.0,,True,True
TP1010,HE_3V0,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,1.101277,46.2,0.0,,True,True
TP1011,HE_SENSE,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,7.801277,34.2,0.0,,True,True
TP1012,O2_VMID,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,7.5,43.25,0.0,,True,True
TP1013,CHG_STAT_N,,,1,0,PCB feature,TestPoint_Pad_D0.8mm,bottom,10.15,83.9,180.0,,False,True
TP1014,QON SERVICE,,,1,0,PCB feature,TestPoint_Pad_D0.8mm,top,15.1,86.4,0.0,,False,True
U101,BQ25895RTWR,Texas Instruments,BQ25895RTWR,1,1,factory,TI_RTW24_4x4_ThermalVias_ServicePad,top,13.0,84.0,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U110,TUSB320LAIRWBR,Texas Instruments,TUSB320LAIRWBR,1,1,factory,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,top,25.2,77.4,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U111,PI3USB9201ZTAEX,Diodes Incorporated,PI3USB9201ZTAEX,1,1,factory,PI3USB9201_UQFN2020_12_TypeC,top,26.45,74.05,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U112,SN74AUP1G74DCUR,Texas Instruments,SN74AUP1G74DCUR,1,1,factory,VSSOP-8_2.3x2mm_P0.5mm,top,25.2,80.5,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U113,TPS3808G01DBVR,Texas Instruments,TPS3808G01DBVR,1,1,factory,SOT-23-6,top,25.0,85.8,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U114,TPS22950CQDDCRQ1,Texas Instruments,TPS22950CQDDCRQ1,1,1,factory,TI_DDC0006A,top,7.5,90.5,180.0,Factory SMT preferred; accessible leaded DDC6 package; quoted factory SMT placement/reflow and joint inspection required,False,False
U115,TPS259470ARPWR,Texas Instruments,TPS259470ARPWR,1,1,factory,TI_RPW0010A,bottom,14.5,90.0,0.0,Factory reflow required; asymmetric HotRod RPW10 land/paste pattern; quoted factory SMT placement/reflow and joint inspection required,False,False
U201,TPS63020DSJR,Texas Instruments,TPS63020DSJR,1,1,factory,TI_DSJ_14,top,13.0,61.0,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U301,MAX17048G+,Analog Devices,MAX17048G+T10,1,1,factory,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,top,18.0,69.8,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U302,LM66100DCKR,Texas Instruments,LM66100DCKR,1,1,factory,SOT-363_SC-70-6,top,12.0,51.5,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U401,ADS122C04IPWR,Texas Instruments,ADS122C04IPWR,1,1,factory,TSSOP-16_4.4x5mm_P0.65mm,top,12.6,23.2,-90.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U501,TPS7A2030PDBVR,Texas Instruments,TPS7A2030PDBVR,1,1,factory,SOT-23-5,top,4.0,45.7,90.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U502,ADS122C04IPWR,Texas Instruments,ADS122C04IPWR,1,1,factory,TSSOP-16_4.4x5mm_P0.65mm,top,12.6,42.0,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U701,TPS61023DRLR,Texas Instruments,TPS61023DRLR,1,1,factory,SOT-563,top,19.5,56.3,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U702,TPS7A2030PDBVR,Texas Instruments,TPS7A2030PDBVR,1,1,factory,SOT-23-5,top,19.0,45.4,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U703,TXU0202DCUR,Texas Instruments,TXU0202DCUR,1,1,factory,TI_DCU8_CompactSilk,top,13.0,46.1,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
U801,LTC2954CTS8-1,Analog Devices,LTC2954CTS8-1#TRMPBF,1,1,factory,TSOT-23-8,top,13.6,55.0,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
