reference,side,MPN,DNP,PCB_x_mm,PCB_y_mm,rotation_deg,x_min_mm,y_min_mm,x_max_mm,y_max_mm,max_body_height_mm,assembly_allowance_mm,clearance_height_above_FCu_mm,Fusion_z_bottom_mm,Fusion_z_top_mm,Fusion_x_min_mm,Fusion_x_max_mm,Fusion_y_min_mm,Fusion_y_max_mm,basis,XY_basis,source,model_status
J101,F.Cu,,False,14.75,97.0,0.0,9.3,95.95,20.2,98.05,6,0,6,22.1,28.1,59.7,70.6,21.950000000000003,24.049999999999997,UNMEASURED soldered-wire bend/strainrelief allocation; not connector CAD or qualified clearance,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,,check this envelope independently of generic STEP model; no scaling of purchased CAD
J102,F.Cu,,False,14.9,93.0,0.0,14.0,92.1,20.0,93.9,6,0,6,22.1,28.1,64.4,70.4,26.099999999999994,27.900000000000006,UNMEASURED soldered-wire bend/strainrelief allocation; not connector CAD or qualified clearance,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,,check this envelope independently of generic STEP model; no scaling of purchased CAD
J103,F.Cu,M20-9990246,False,4.0,77.725,0.0,2.68,76.405,5.32,81.585,8.95,0,8.95,22.1,31.05,53.08,55.72,38.415000000000006,43.595,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990246,check this envelope independently of generic STEP model; no scaling of purchased CAD
J104,F.Cu,M20-9990246,False,4.0,69.725,0.0,2.68,68.405,5.32,73.585,8.95,0,8.95,22.1,31.05,53.08,55.72,46.415000000000006,51.595,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990246,check this envelope independently of generic STEP model; no scaling of purchased CAD
J301,F.Cu,HTSW-113-07-L-D-007,False,27.265,69.245,180.0,23.4304,37.445,28.5596,70.565,8.95,0,8.95,22.1,31.05,73.8304,78.9596,49.435,82.555,SamtecHTSW-113-07-L-D-007 nominal8.382mm abovePCB;8.95mm engineering clearance is NOT manufacturer maximum; mated35x5.5x12.5mm housing/withdrawal/bend allocation checked separately; post7 omitted,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://suddendocs.samtec.com/prints/htsw-xxx-xx-xxx-x-xx-xx-xx-mkt.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
J401,F.Cu,M20-9990346,False,4.9,24.46,0.0,3.58,23.14,6.22,30.86,8.95,0,8.95,22.1,31.05,53.98,56.62,89.14,96.86,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990346,check this envelope independently of generic STEP model; no scaling of purchased CAD
J402,F.Cu,142138,False,4.45,16.6,0.0,0.8500000000000001,13.000000000000002,8.05,20.200000000000003,8.2,0,8.2,22.1,30.3,51.25,58.45,99.8,107.0,"Conservative independent-extremes derived envelope: body7.0+0.20mm; total11.5+0.40 minus minimum tail3.9-0.20 =8.2mm; nominal manufacturer drawing body7mm,height7.6mm; not a separately manufacturer-rated maximum",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.amphenolrf.com/en-us/part/142138/883/,check this envelope independently of generic STEP model; no scaling of purchased CAD
J501,F.Cu,M20-9990346,False,4.0,34.96,0.0,2.68,33.64,5.32,41.36,8.95,0,8.95,22.1,31.05,53.08,55.72,78.64,86.36,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990346,check this envelope independently of generic STEP model; no scaling of purchased CAD
J601,F.Cu,B4B-XH-A(LF)(SN),False,26.45,21.525,180.0,16.45,18.075,28.95,23.925,7.3,0,7.3,22.1,29.400000000000002,66.85,79.35,96.075,101.925,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
J701,F.Cu,B4B-XH-A(LF)(SN),False,26.45,29.525,180.0,16.45,26.075,28.95,31.925,7.3,0,7.3,22.1,29.400000000000002,66.85,79.35,88.075,93.925,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
J801,F.Cu,M20-9990246,False,3.724999,51.5,90.0,2.404999,50.18,7.584999,52.82,8.95,0,8.95,22.1,31.05,52.804998999999995,57.984999,67.18,69.82,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990246,check this envelope independently of generic STEP model; no scaling of purchased CAD
J802,F.Cu,M20-9990246,False,5.725,55.3,90.0,4.405,53.98,9.585,56.62,8.95,0,8.95,22.1,31.05,54.805,59.985,63.38,66.02000000000001,"header clearance allocation; mating housing, wire bend and actual harness not included",manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.harwin.com/products/M20-9990246,check this envelope independently of generic STEP model; no scaling of purchased CAD
L101,F.Cu,74437349010,False,13.5,76.5,90.0,10.049999999999999,72.7,16.95,80.3,5.0,0.15,5.15,22.1,27.25,60.449999999999996,67.35,39.7,47.3,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.we-online.com/components/products/datasheet/74437349010.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
L201,F.Cu,XGL4030-152MEC,False,13.0,66.0,180.0,10.85,63.85,15.15,68.15,3.1,0.15,3.25,22.1,25.35,61.25,65.55,51.849999999999994,56.15,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.coilcraft.com/pdfs/xgl4030.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
L701,F.Cu,XGL4020-102MEC,False,19.5,51.2,-90.0,17.35,49.050000000000004,21.65,53.35,2.1,0.15,2.25,22.1,24.35,67.75,72.05,66.65,70.94999999999999,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.coilcraft.com/pdfs/xgl4020.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q101,F.Cu,2N7002-7-F,False,20.0,78.75,0.0,19.3,77.25,20.7,80.25,1.1,0.15,1.25,22.1,23.35,69.7,71.1,39.75,42.75,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.diodes.com/datasheet/download/2N7002.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q110,F.Cu,DMN2056U-7,False,18.0,89.5,180.0,17.3,88.0,18.7,91.0,1.1,0.15,1.25,22.1,23.35,67.7,69.1,29.0,32.0,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.diodes.com/datasheet/download/DMN2056U.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q111,F.Cu,DMN2056U-7,False,20.0,86.0,0.0,19.3,84.5,20.7,87.5,1.1,0.15,1.25,22.1,23.35,69.7,71.1,32.5,35.5,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,http://www.diodes.com/assets/Datasheets/DMN2056U.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q112,F.Cu,DMN2056U-7,False,24.75,96.75,0.0,24.05,95.25,25.45,98.25,1.1,0.15,1.25,22.1,23.35,74.45,75.85,21.75,24.75,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.diodes.com/assets/Datasheets/DMN2056U.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q601,F.Cu,BSS138-7-F,False,19.5,35.0,0.0,18.8,33.5,20.2,36.5,1.1,0.15,1.25,22.1,23.35,69.2,70.6,83.5,86.5,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.diodes.com/datasheet/download/BSS138.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
Q602,F.Cu,BSS138-7-F,False,20.5,39.2,0.0,19.8,37.7,21.2,40.7,1.1,0.15,1.25,22.1,23.35,70.2,71.6,79.3,82.3,manufacturer package/part dimension; conservative package maxima where listed,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.diodes.com/datasheet/download/BSS138.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R101,F.Cu,RC0402FR-075K23L,False,14.85,88.95,0.0,14.325000000000001,88.67499999999998,15.375000000000002,89.225,0.4,0.15,0.55,22.1,22.65,64.725,65.775,30.775000000000006,31.325000000000017,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/component-documentation/download/specsheet/RC0402FR-075K23L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R102,F.Cu,RC0603FR-0730K1L,False,10.9,88.25,90.0,10.4375,87.4,11.3625,89.1,0.6,0.15,0.75,22.1,22.85,60.8375,61.7625,30.900000000000006,32.599999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R103,F.Cu,RC0603FR-07300RL,False,14.5,87.55,0.0,13.65,87.0875,15.35,88.0125,0.6,0.15,0.75,22.1,22.85,64.05,65.75,31.987499999999997,32.912499999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R104,F.Cu,RC0603FR-07100KL,False,5.0,93.0,180.0,4.15,92.5375,5.85,93.4625,0.6,0.15,0.75,22.1,22.85,54.55,56.25,26.537499999999994,27.462500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R105,F.Cu,RC0603FR-07100KL,False,5.75,84.25,90.0,5.2875,83.4,6.2125,85.1,0.6,0.15,0.75,22.1,22.85,55.6875,56.6125,34.900000000000006,36.599999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R107,F.Cu,RC0603FR-0710KL,False,23.5,75.0,180.0,22.65,74.5375,24.35,75.4625,0.6,0.15,0.75,22.1,22.85,73.05,74.75,44.537499999999994,45.462500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R110,F.Cu,RC0603FR-07887KL,False,23.5,73.5,180.0,22.65,73.0375,24.35,73.9625,0.6,0.15,0.75,22.1,22.85,73.05,74.75,46.037499999999994,46.962500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R111,F.Cu,RC0603FR-0733KL,False,27.5,77.55,-90.0,27.0375,76.7,27.9625,78.4,0.6,0.15,0.75,22.1,22.85,77.4375,78.3625,41.599999999999994,43.3,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R112,F.Cu,RC0603FR-0710KL,False,29.0,76.75,90.0,28.5375,75.9,29.4625,77.6,0.6,0.15,0.75,22.1,22.85,78.9375,79.8625,42.400000000000006,44.099999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R113,F.Cu,RT0603BRD0797K6L,False,26.0,83.25,0.0,25.15,82.7875,26.85,83.7125,0.6,0.15,0.75,22.1,22.85,75.55,77.25,36.287499999999994,37.212500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R114,F.Cu,RT0603BRD0710KL,False,21.75,92.75,90.0,21.2875,91.9,22.2125,93.6,0.6,0.15,0.75,22.1,22.85,71.6875,72.6125,26.400000000000006,28.099999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R115,F.Cu,RT0402BRD0710KL,False,21.4,83.3,-90.0,21.125,82.75,21.674999999999997,83.85,0.35,0.15,0.5,22.1,22.6,71.525,72.07499999999999,36.150000000000006,37.25,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/component-documentation/download/specsheet/RT0402BRD0710KL,check this envelope independently of generic STEP model; no scaling of purchased CAD
R116,F.Cu,RT0603BRD071KL,False,7.75,94.75,0.0,6.9,94.2875,8.6,95.2125,0.6,0.15,0.75,22.1,22.85,57.3,59.0,24.787499999999994,25.712500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R117,F.Cu,RC0603FR-07100KL,False,28.2,97.0,90.0,27.7375,96.15,28.6625,97.85,0.6,0.15,0.75,22.1,22.85,78.1375,79.0625,22.150000000000006,23.849999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R118,F.Cu,RT0402BRD07100KL,False,10.75,91.95,180.0,10.2,91.67499999999998,11.3,92.225,0.35,0.15,0.5,22.1,22.6,60.599999999999994,61.7,27.775000000000006,28.325000000000017,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/component-documentation/download/specsheet/RT0402BRD07100KL,check this envelope independently of generic STEP model; no scaling of purchased CAD
R119,B.Cu,RT0402BRD0719K1L,False,5.15,88.15,0.0,4.6000000000000005,87.875,5.7,88.42500000000001,0.35,0.15,0.5,20.0,20.5,55.0,56.1,31.57499999999999,32.125,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R120,F.Cu,RC0603FR-0710KL,False,1.925,92.75,0.0,1.075,92.2875,2.775,93.2125,0.6,0.15,0.75,22.1,22.85,51.475,53.175,26.787499999999994,27.712500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R121,B.Cu,TNPW060334K0BYEA,False,8.75,84.8,90.0,8.2875,83.95,9.2125,85.65,0.6,0.15,0.75,19.75,20.5,58.6875,59.6125,34.349999999999994,36.05,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R122,B.Cu,TNPW0603649RBYEA,False,10.45,87.8,0.0,9.6,87.3375,11.3,88.2625,0.6,0.15,0.75,19.75,20.5,60.0,61.7,31.737499999999997,32.662499999999994,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R123,B.Cu,TNPW060310K0BYEA,False,13.725,87.6,0.0,12.875,87.1375,14.575,88.0625,0.6,0.15,0.75,19.75,20.5,63.275,64.975,31.9375,32.8625,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R124,B.Cu,TNPW060321K5BEEA,False,16.0,86.35,90.0,15.5375,85.5,16.4625,87.2,0.6,0.15,0.75,19.75,20.5,65.9375,66.8625,32.8,34.5,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R125,B.Cu,TNPW060310K0BEEA,False,17.75,86.95,90.0,17.2875,86.1,18.2125,87.8,0.6,0.15,0.75,19.75,20.5,67.6875,68.6125,32.2,33.900000000000006,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R126,B.Cu,TNPW06031K65BEEA,False,18.75,90.0,90.0,18.2875,89.15,19.2125,90.85,0.6,0.15,0.75,19.75,20.5,68.6875,69.6125,29.150000000000006,30.849999999999994,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://www.vishay.com/docs/28758/tnpw_e3.pdf,check this envelope independently of generic STEP model; no scaling of purchased CAD
R127,B.Cu,RC0603FR-0710KL,False,10.25,92.75,90.0,9.7875,91.9,10.7125,93.6,0.6,0.15,0.75,19.75,20.5,60.1875,61.1125,26.400000000000006,28.099999999999994,explicit manufacturer maximum height from the source-matched native part fields,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R128,B.Cu,RC0603FR-07100KL,False,8.5,92.75,90.0,8.0375,91.9,8.9625,93.6,0.6,0.15,0.75,19.75,20.5,58.4375,59.3625,26.400000000000006,28.099999999999994,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R201,F.Cu,RC0603FR-071M62L,False,8.8,59.75,0.0,7.95,59.2875,9.65,60.2125,0.6,0.15,0.75,22.1,22.85,58.35,60.05,59.7875,60.7125,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R202,F.Cu,RC0603FR-07180KL,False,8.8,58.05,0.0,7.95,57.5875,9.65,58.5125,0.6,0.15,0.75,22.1,22.85,58.35,60.05,61.4875,62.4125,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R203,F.Cu,RC0603FR-07100KL,False,4.25,67.0,0.0,3.4,66.5375,5.1,67.4625,0.6,0.15,0.75,22.1,22.85,53.8,55.5,52.537499999999994,53.462500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R301,F.Cu,RC0603FR-0710KL,False,11.95,71.15,0.0,11.1,70.7,12.799999999999999,71.60000000000001,0.55,0.15,0.7000000000000001,22.1,22.8,61.5,63.199999999999996,48.39999999999999,49.3,explicit manufacturer maximum length/width/height from source-matched part fields; assembly allowance is separate,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/component-documentation/download/specsheet/RC0603FR-0710KL,check this envelope independently of generic STEP model; no scaling of purchased CAD
R302,F.Cu,RC0603FR-074K7L,False,3.4,83.5,0.0,2.55,83.0375,4.25,83.9625,0.6,0.15,0.75,22.1,22.85,52.949999999999996,54.65,36.037499999999994,36.962500000000006,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R303,F.Cu,RC0603FR-074K7L,False,19.5,64.5,90.0,19.0375,63.65,19.9625,65.35,0.6,0.15,0.75,22.1,22.85,69.4375,70.3625,54.650000000000006,56.35,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R401,F.Cu,RT0603BRD07100RL,False,8.25,25.5,90.0,7.7875,24.65,8.7125,26.35,0.6,0.15,0.75,22.1,22.85,58.1875,59.1125,93.65,95.35,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R402,F.Cu,RT0603BRD07100RL,False,12.5,18.5,0.0,11.65,18.0375,13.35,18.9625,0.6,0.15,0.75,22.1,22.85,62.05,63.75,101.0375,101.9625,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R403,F.Cu,RC0603FR-071ML,False,1.3,29.759999,90.0,0.8375,28.909999,1.7625,30.609999,0.6,0.15,0.75,22.1,22.85,51.2375,52.1625,89.390001,91.090001,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R404,F.Cu,RC0603FR-071ML,False,1.3,33.0,90.0,0.8375,32.15,1.7625,33.85,0.6,0.15,0.75,22.1,22.85,51.2375,52.1625,86.15,87.85,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R405,F.Cu,RT0603BRD07100RL,False,15.0,33.0,90.0,14.5375,32.15,15.4625,33.85,0.6,0.15,0.75,22.1,22.85,64.9375,65.8625,86.15,87.85,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R406,F.Cu,RT0603BRD07100RL,False,1.3,36.3,90.0,0.8375,35.45,1.7625,37.15,0.6,0.15,0.75,22.1,22.85,51.2375,52.1625,82.85,84.55,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R407,F.Cu,RC0603FR-071ML,False,10.95,30.25,0.0,10.1,29.7875,11.8,30.7125,0.6,0.15,0.75,22.1,22.85,60.5,62.2,89.2875,90.2125,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R408,F.Cu,RC0603FR-071ML,False,14.15,30.25,0.0,13.3,29.7875,15.0,30.7125,0.6,0.15,0.75,22.1,22.85,63.7,65.4,89.2875,90.2125,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R409,F.Cu,RT0603BRD0710KL,False,12.25,36.3,0.0,11.4,35.8375,13.1,36.7625,0.6,0.15,0.75,22.1,22.85,61.8,63.5,83.2375,84.1625,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R410,F.Cu,RT0603BRD0710KL,False,15.5,36.4,0.0,14.65,35.9375,16.35,36.8625,0.6,0.15,0.75,22.1,22.85,65.05,66.75,83.1375,84.0625,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
R501,F.Cu,RC0603FR-07100KL,False,2.2,54.2,0.0,1.35,53.7375,3.05,54.6625,0.6,0.15,0.75,22.1,22.85,51.75,53.449999999999996,65.3375,66.2625,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,check this envelope independently of generic STEP model; no scaling of purchased CAD
R504,F.Cu,RT0603BRD0710KL,False,18.25,48.0,0.0,17.4,47.5375,19.1,48.4625,0.6,0.15,0.75,22.1,22.85,67.8,69.5,71.5375,72.4625,conservative resistor height allowance; exact maximum not separately supplied,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://yageogroup.com/content/datasheet/asset/file/pyu-rt_1-to-0-01_rohs_l,check this envelope independently of generic STEP model; no scaling of purchased CAD
